PLR_ID,value,hour
08401245,0.0,0
08401244,0.0,0
08401246,0.0,0
08401243,0.0,0
08401242,0.0,0
08301037,0.0,0
08301036,0.0,0
08401241,-0.000166049688594,0
08300934,-0.0003320993771881,0
08300935,0.0,0
08200833,0.0,0
08200832,0.0,0
08200730,0.0,0
08401139,0.0,0
08401140,0.0,0
08401138,0.0,0
08200728,0.0,0
08200726,0.0,0
08200623,0.0,0
08200622,-0.0054360091608123,0
08100521,0.0019122768249778,0
08100520,-0.0026835338708475,0
08100418,0.0022585143088236,0
08100419,-0.0159785340227199,0
08100416,0.0314231946973031,0
08100417,-0.0310964319044944,0
08100415,0.0222870201941133,0
08100207,-0.0304172181344273,0
08100208,-0.0240519824215814,0
08100209,0.0087982051784218,0
08100206,0.0630322738880018,0
08100314,-0.0260949001590264,0
08100312,-0.0890489433866237,0
08100313,0.0035457693328526,0
08100311,-0.0295014588877081,0
08100310,-0.0269832759610164,0
02200213,0.0649978256604995,0
02200212,0.0247032174937054,0
08100101,-0.010994600904818,0
08100102,-0.0182997566426194,0
08100103,0.0364834957000875,0
08100104,0.0575462830617132,0
07400721,0.0008998805767981,0
07400927,0.0054720688248796,0
07400928,0.0,0
08100105,-0.0053493086726406,0
08200624,-0.0002110386230076,0
08200727,0.0,0
08200725,0.0,0
08200729,-0.0002056447798371,0
08200831,0.0,0
07601548,0.0,0
07601547,0.0,0
07601544,0.0,0
07601546,0.0,0
07601545,0.0,0
07601443,0.0,0
07601442,0.0,0
07601341,0.0,0
07601238,0.0,0
07501135,0.0,0
07601237,0.0,0
07601236,0.0,0
07601340,0.0,0
07601339,0.0,0
07501134,0.0,0
07501133,0.0011533681461688,0
07501030,-0.0001735992975411,0
07501031,0.0,0
07501032,0.0,0
07400825,-0.0027459980489932,0
07400824,0.0003340080723915,0
07400823,0.0023011952871957,0
07300516,0.0033265000099125,0
07300515,0.0051844807978684,0
04501151,0.0351977436519289,0
04501150,-0.0056722283237694,0
04501153,-0.0372761039605871,0
07200409,0.0151596676786115,0
07200307,0.0178440621455623,0
07200410,0.0074062343626573,0
07100204,0.0130217214797262,0
07100205,0.0027839791220411,0
